課題曲名,現状
月光乱舞(鬼),未クリア(E)
最速最高シャッターガール(鬼),未クリア(E)
逆月(鬼),未クリア(E)
灼熱 Pt.2 Long Train Running(鬼),未クリア(E)
シュレーディンガーの猫(鬼),未クリア(E)
トランスダンスアナーキー(鬼),未クリア(E)
嘆きの樹(鬼),未クリア(E)
伐折羅-vajra-(鬼),未クリア(E)
ミカヅキ:コネクト(鬼),未クリア(E)
量子の海のリントヴルム(鬼),未クリア(E)
actualization of self (weaponized)(鬼),未クリア(E)
Anti-Matter(鬼),未クリア(E)
Astrogazer(鬼),未クリア(E)
Avenger(鬼),未クリア(E)
Bad Maniacs(鬼),未クリア(E)
Black Emperor(鬼),未クリア(E)
Blew My Mind(鬼),未クリア(E)
COSMIC V3LOCITY(激),未クリア(E)
CRAZY♥LOVE(鬼),未クリア(E)
DIGITALIZER(鬼),未クリア(E)
Elemental Creation(鬼),未クリア(E)
ENDYMION(激),未クリア(E)
Fly Like You(鬼),未クリア(E)
HyperTwist(鬼),未クリア(E)
Lachryma《Re:Queen’M》(激),未クリア(E)
Lightspeed(鬼),未クリア(E)
MAX.(period)(鬼),未クリア(E)
Neutrino(鬼),未クリア(E)
New Century(鬼),未クリア(E)
New Decade(鬼),未クリア(E)
New Millennium(鬼),未クリア(E)
POSSESSION(鬼),未クリア(E)
POSSESSION (20th Anniversary Mix)(鬼),未クリア(E)
REINCARNATION(激),未クリア(E)
Remain(鬼),未クリア(E)
Rise As One(激),未クリア(E)
SISYPHUS(鬼),未クリア(E)
The World Ends Now(鬼),未クリア(E)
Tohoku EVOLVED(鬼),未クリア(E)
Triple Journey -TAG EDITION-(鬼),未クリア(E)
TRIP MACHINE EVOLUTION(鬼),未クリア(E)
UNBELIEVABLE (Sparky remix)(鬼),未クリア(E)
VOLAQUAS(激),未クリア(E)
